Course,Lesson,Title,Subtitle,Tool,Story,Key Verse,Summary
201,201.04,Spiritual Disciplines - Abiding in Christ,Daily Prayers tool,Daily Prayers tool,The Vine and the Branch (John 15),John 15:4-5,"Building sustainable rhythms of prayer, Scripture, fellowship, stewardship, and fighting sin as ways of staying connected to Jesus. Includes practical guidance on daily devotional habits - Bible reading, prayer, journaling, and Bible memory - as the daily rhythm that keeps the disciplines alive."
201,201.05,Overview of the Bible,OT and NT Bookshelf walkthrough,OT and NT Bookshelf walkthrough,Josiah Finding the Book of the Law (2 Kings 22),2 Timothy 3:16-17,"Welcome to a guided tour of the most important book you will ever read. The Bible isn't a single book. It is a library of 66 unique volumes written by 40 authors across 1,500 years. Learning how this life-changing book is organized will help you understand it and remember how the story of God fits together. First of three connected Bible lessons (map - road trip - skill)."
201,201.06,Biblical Storyline,Four Parts (Creation / Fall / Redemption / Restoration) + BibleProject link,Four Parts (Creation / Fall / Redemption / Restoration) + BibleProject link,The Road to Emmaus (Luke 24:13-35),Revelation 21:5,"Creation, Fall, Redemption, Restoration - the four-part story of the Bible with Jesus at the center. Second of three connected Bible lessons (map - road trip - skill)."
201,201.07,How to Study the Bible,OIA method (Observe / Interpret / Apply) with Psalm 23 practice passage,OIA method (Observe / Interpret / Apply) with Psalm 23 practice passage,Philip and the Ethiopian Eunuch (Acts 8:30-31),2 Timothy 2:15,"Builds on the Three Discovery Questions from 101.04 with a deeper inductive method. Teaches OIA (Observe, Interpret, Apply) with a guided practice on Psalm 23. Third of three connected Bible lessons (map - road trip - skill)."
201,201.08,The Grace and Mercy Cycle,The Grace and Mercy Cycle,The Grace and Mercy Cycle,The Boy and the Fruit Tree,Ephesians 2:8-10,"Four words explain what God did for you at the cross: Grace, Mercy, Justified, and Righteous. You will see how these four realities work together in a cycle that starts with God's love and flows through you to others."
201,201.09,Living the Fruit of the Spirit,Fruit of the Spirit (9 fruits visual),Fruit of the Spirit (9 fruits visual),The Vine and Branches (John 15),Galatians 5:22-23,"Sanctification is the process - the Fruit of the Spirit is the evidence. Explores how God progressively conforms you to the image of Christ through the Spirit's work, and how the nine fruits of Galatians 5 are the visible proof that the process is happening. Know who you are, then live out who you are."
201,201.10,Repentance and the Learning Circle,The Learning Circle (interactive),The Learning Circle (interactive),"The Prodigal Son, both sons (Luke 15:11-32)",Mark 1:15,"Everyone drifts - into obvious sin like the younger son, or into pride like the older one. Both ditched the Father. Both needed to turn back. This lesson uses the full Prodigal Son story and The Learning Circle tool to teach the ongoing rhythm of repentance and belief that marks the whole Christian life, from noticing the drift through godly grief to practical planning and obedience."
202 - Growing Up in Discipleship,,,,,,,
202,202.01,Loving Your Neighbors,Expanding Circles (home church neighborhood world),Expanding Circles (home church neighborhood world),The Good Samaritan (Luke 10),Matthew 22:39,"Explores the second great commandment - love your neighbor as yourself, love one another as I have loved you, the golden rule, and considering others better than yourself."
202,202.02,Loving Your Family at Home - Your First Neighbors,Weekly connection app,Weekly connection app,The Forgiveness Loop (Examine. Confess. Forgive. Rebuild) OR The 3 Chairs of Family Life,Ephesians 5:25,"Establishing a gospel-centered home where your family is your first mission field - and where forgiveness is most needed and most tested. Covers marriage, singleness, household life as discipleship, and the hard work of forgiving the people closest to you."
202,202.03,Loving Your Church Family,One Anothers of the NT,One Anothers of the NT,The Early Church (Acts 2),1 Peter 2:9-10,"Living out the New Testament one another commands - serving in the church, caring for each other, resolving conflict, and what it looks like to truly belong to a spiritual family."
202,202.04,Discovering Your Gifts - APEST - Equip the saints for the work of ministry,Spiritual gifts assessment,Spiritual gifts assessment,A.P.E.S.T. / Body Parts (Every part matters),Romans 12:6-8,Discovering your unique capacity for serving the body of Christ.
202,202.05,Suffering,Verse card: James 1:2-4,Verse card: James 1:2-4,Joseph (Genesis 37-50),James 1:2-4,"A biblical framework for when life gets hard - understanding that trials produce endurance, and that God is with us in the valley, not just on the mountaintop."
202,202.06,Worship and the Glory of God,Worship Is... (Piper quote + John 4:23),Worship Is... (Piper quote + John 4:23),Paul and Silas in Prison (Acts 16),John 4:23-24,Worship is gladly reflecting back to God the radiance of His worth. This lesson explores what it means to worship God in spirit and truth - not just in a Sunday service but as the posture of your whole life.
202,202.07,Giving & Generosity,Generosity Ladder,Generosity Ladder,The Widow's Mite (Mark 12),2 Corinthians 9:7,"In this lesson you will explore why generosity and tithing flows from gratitude, not obligation, and why giving is the clearest thermometer of where your heart actually is. Knowing that every thing is God's and you are His steward breaks the grip of money on our lives and will bring you lasting financial freedom."
202,202.08,Marriage and Relationships,,,,,
202,202.09,Fighting for Purity,FIGHT acrostic for purity,FIGHT acrostic for purity,David and Bathsheba (2 Samuel 11),1 Thessalonians 4:3,Honoring God with our bodies and minds as a response to the grace we have received - practical strategies for fighting temptation.
202,202.10,Baptism & the Lord's Supper,Two Ordinances side by side,Two Ordinances side by side,The Last Supper (Luke 22),1 Corinthians 11:26,The meaning and beauty of Baptism and the Lord's Supper as symbols of the gospel - and how the Lord's Supper points forward to the return of Christ.
203 - Growing Out in Discipleship,,,,,,,
203,203.01,The Great Commission - Your Personal Ministry,Acts 1:8 concentric circles,Acts 1:8 concentric circles,,Matthew 28:19-20,The last words of Jesus and what they mean for every believer: you are sent. Great Commission vision with Acts 1:8 concentric circles and the home as first mission field.
203,203.02,BLESS - Begin in Prayer,BLESS rhythm and tracker,BLESS rhythm and tracker,,Matthew 5:16,"The deeper dive into the BLESS rhythm introduced in 101.06. Five practical rhythms for living on mission where you live, work, and play: Begin with Prayer, Listen, Eat, Serve, Story. This is the skill-training version of what 101 introduced as heart preparation."
203,203.03,BLESS - Listen and Eat - Show Hospitality,The Open Table (hospitality IS vs ISN'T),The Open Table (hospitality IS vs ISN'T),,1 Peter 4:9-10,Life Skill: Using your home and your table to welcome strangers into the family of God - why hospitality is not entertaining but mission.
203,203.04,BLESS - Serve with Loving Sacrifice,Servant Leadership pattern (came not to be served but to serve),Servant Leadership pattern (came not to be served but to serve),Jesus Washes the Disciples' Feet (John 13),Mark 10:45,"The Serve letter of BLESS. Jesus came not to be served but to serve, and His followers take the same posture. Practical ways to serve the people God has placed around you, with loving sacrifice as the shape of every act."
203,203.05,BLESS - Share Your Story and the Gospel,"Three Stories (theirs, yours, Jesus')","Three Stories (theirs, yours, Jesus')",,Romans 10:14,"The second S of BLESS - the how of sharing faith. By the time the Begin, Listen, Eat, and Serve rhythms have done their work, the bridge of relationship is built, so talking about life and faith feels natural. Teaches the Three Stories pattern as one example of how to share: hear their story, share your story, share Jesus' story."
203,203.06,Faith at Work and School - Your Second Space,"1st, 2nd, 3rd Spaces framework","1st, 2nd, 3rd Spaces framework",Daniel in Babylon (Daniel 1 & 6),Daniel 6:4,"Your life unfolds across three kinds of space. 1st Space is home and close friends. 2nd Space is work and school, where most of your waking hours go. 3rd Space is everywhere else: hobbies, strangers, parties, meet-ups. This lesson is about living faithfully in your 2nd Space, the place where most of your time and most of your testimony gets written."
203,203.07,Spiritual Warfare and Putting on the Armor of God,Armor of God (Ephesians 6),Armor of God (Ephesians 6),Jesus Sends the 72,Ephesians 6:10-12,Protecting the mission from the schemes of the enemy through prayer and truth and community.
203,203.08,How to Disciple Others,Navigators Wheel (Christ + 4 spokes),Navigators Wheel (Christ + 4 spokes),,2 Timothy 2:2,The practice of life-on-life investment - how to intentionally walk alongside someone and help them grow in their faith.
203,203.09,Church Planting - Missions - Christian Ministries,,,,,
203,203.10,Your Calling - Putting It All Together,Your SHAPE (gifts heart abilities personality experience),Your SHAPE (gifts heart abilities personality experience),,Ephesians 4:1,Putting it all together: finding your specific team and role at Neighborhood Church.
301 - Leading in Discipleship,,,,,,,
301,301.01,"Leaders Have Character, Integrity, and Accountability",Jethro and Moses (Exodus 18),,Jethro and Moses (Exodus 18),1 Timothy 3:2-7,"The foundation of leadership is who you are when no one is watching. Character, integrity, and accountability are not leadership techniques - they are the soil everything else grows from. Caught not taught."
301,301.02,Leaders Have Followers: Let's Get Started,,,,2 Timothy 2:2,You are not leading in the abstract - someone is actually following you. This lesson introduces the language of Your Personal Ministry and gives you a practical framework for walking your first (or next) disciple through the basics of faith.
301,301.03,Leaders Pray for Others,,,,Colossians 1:9-10,"Intercessory prayer is the engine underneath everything a leader does. This is not a repeat of learning how to pray - this is learning to cover your people by name, to pray before hard conversations, and to lead from your knees before you lead from your mouth."
301,301.04,Leaders Help Others Belong,,,,Hebrews 10:24-25,Great leaders find joy in seeing others connected to community - even community the leader is not part of. This lesson explores how leaders build environments of belonging and help people find their people.
301,301.05,Leaders Lead Groups Well,,,,Acts 2:42-47,"The practical dynamics of leading a small group or Bible study - how to guide discussion, create space for the Spirit to work, handle the person who talks too much, and draw out the person who never talks."
301,301.06,Leaders Give Great Talks,,,,Nehemiah 8:8,How to prepare and deliver a simple teaching that helps real people meet God. This is not seminary homiletics - it is how to open the Scriptures with a group of 5 or 15 and make the Word come alive.
301,301.07,Leaders Serve All the Time,,,,Mark 10:45,Servant leadership is not a chapter in a book - it is the posture of your whole life. Jesus led by washing feet and you will too. This lesson challenges the leader to make serving the default setting of their leadership.
301,301.08,Leaders Are Disciplined,,,,1 Corinthians 9:24-27,"By now you have learned to gather, lead, teach, and serve. Discipline is the unglamorous engine that keeps all of it from falling apart over time. This lesson addresses time management, consistency, follow-through, and the long obedience in the same direction."
301,301.09,Leaders Lean Into Conflict for Peace,,,,Matthew 18:15-17,"The lesson no one wants but every leader needs. Correction in love, difficult people, maintaining unity without avoiding truth, and the courage to have the hard conversation that everyone else is avoiding."
301,301.10,Leaders Challenge Others and Build Personal Ministry in Others,,,,2 Timothy 2:2,"The ultimate goal of leadership is to make yourself unnecessary. This lesson brings the series full circle - from your own character in lesson 1 to now building personal ministry into the people you have been leading. Spiritual multiplication, passing the baton, and sending others to do what has been done in them."
